Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:59:25:34.096,61,0.0185084809,0.2779490352,0.0651000589,0.0000000000,0.0000000000,0.0142049119,0.0000000000,0.0180727616,0.2778395414,0.0618019141,0.0000000000,0.0000000000,0.0142049212,0.0000000000,0.0078606568,0.0126185697,0.0000000000,0.0116295191,0.0128259286,0.0024692114,0.0555637144,0.0009237028,0.0000000000,0.0067546288,0.0086371889,0.0000000000,0.0000000000,0.0067366241,0.0065760384,0.0192119963,0.0189077631,0.0134684797,0.0101167420,0.0425135717,0.0284845121,0.0135894371,0.0140795540,0.0109340968,0.0100897839,0.0058639990,0.0063028447,0.0018809512,0.0017091595,0.0263275485,0.0000000000,0.0000000000,0.0075361426,0.0100289965,0.0102833593,0.0214131270,0.0222770460,0.0000000076,0.0000000000,0.0000000000,0.0000000000,-0.0372099504,0.1698412299,-0.0063797017,0.0391952284,0.1699212044,0.0067231255
02:59:25:35.098,61,0.0184132680,0.2776392698,0.0654034466,0.0000000000,0.0000000000,0.0141862687,0.0000000000,0.0179793499,0.2775336504,0.0614911467,0.0000000000,0.0000000000,0.0141862752,0.0000000000,0.0078177694,0.0126928948,0.0000000000,0.0116285542,0.0128178159,0.0024547800,0.0555860996,0.0008804004,0.0000000000,0.0065389359,0.0087057305,0.0000000000,0.0000000000,0.0066734613,0.0065136980,0.0191722885,0.0188640300,0.0133890612,0.0100660324,0.0424118452,0.0284273215,0.0135164745,0.0140070273,0.0108718798,0.0100292433,0.0058249785,0.0062630163,0.0014515151,0.0012782644,0.0262518693,0.0000000000,0.0000000000,0.0075277602,0.0099892104,0.0102474783,0.0213019960,0.0221654400,0.0000000055,0.0000000000,0.0000000000,0.0000000000,-0.0370240286,0.1696530879,-0.0063406709,0.0393791720,0.1697330475,0.0067470353
02:59:25:36.099,61,0.0179179180,0.2772916555,0.0652841851,0.0000000000,0.0000000000,0.0141984047,0.0000000000,0.0175004490,0.2771839797,0.0616848730,0.0000000000,0.0000000000,0.0141984094,0.0000000000,0.0077842129,0.0127838114,0.0000000000,0.0116692893,0.0128456037,0.0024415809,0.0559599549,0.0008423855,0.0000000000,0.0060065910,0.0084108347,0.0000000000,0.0000000000,0.0066107363,0.0064501306,0.0191952977,0.0188827123,0.0133008761,0.0100325868,0.0422258712,0.0283064656,0.0134295877,0.0139198741,0.0108296806,0.0099867163,0.0057761963,0.0062115858,0.0012406069,0.0010665236,0.0263233650,0.0000000000,0.0000000000,0.0075358781,0.0099798078,0.0102418782,0.0212182458,0.0220725238,0.0000000043,0.0000000000,0.0000000000,0.0000000000,-0.0371420272,0.1694400758,-0.0063527282,0.0393087938,0.1695200652,0.0067263679
02:59:25:37.101,61,0.0175480377,0.2774411142,0.0653965324,0.0000000000,0.0000000000,0.0142274247,0.0000000000,0.0171443038,0.2773345113,0.0616261624,0.0000000000,0.0000000000,0.0142274220,0.0000000000,0.0077582663,0.0128871920,0.0000000000,0.0117464093,0.0129256379,0.0024425464,0.0563385785,0.0008109855,0.0000000000,0.0057628434,0.0084371511,0.0000000000,0.0000000000,0.0065551056,0.0063944152,0.0192903411,0.0189696960,0.0132361660,0.0100059891,0.0420321226,0.0281696655,0.0133571094,0.0138474917,0.0108281001,0.0099819433,0.0057390304,0.0061712544,0.0010426603,0.0008657984,0.0264443271,0.0000000000,0.0000000000,0.0075544599,0.0099951560,0.0102574928,0.0211807955,0.0220187660,0.0000000020,0.0000000000,0.0000000000,0.0000000000,-0.0371060967,0.1695318520,-0.0063500903,0.0393758193,0.1696118861,0.0067415517
02:59:25:38.103,61,0.0171698742,0.2776605487,0.0654552728,0.0000000000,0.0000000000,0.0142585663,0.0000000000,0.0167806465,0.2775544822,0.0616058484,0.0000000000,0.0000000000,0.0142585579,0.0000000000,0.0077458364,0.0130157974,0.0000000000,0.0118468190,0.0130483387,0.0024541859,0.0567960553,0.0008448267,0.0000000000,0.0057009938,0.0086661801,0.0000000000,0.0000000000,0.0065004257,0.0063398653,0.0194431283,0.0191051774,0.0131847225,0.0099851498,0.0418067947,0.0280041900,0.0132858828,0.0137762064,0.0108733671,0.0100184735,0.0057166484,0.0061463993,0.0006746575,0.0004937677,0.0266709402,0.0000000000,0.0000000000,0.0075740246,0.0100343609,0.0102965366,0.0211977772,0.0220167506,0.0000000011,0.0000000000,0.0000000000,0.0000000000,-0.0370930135,0.1696662307,-0.0063529816,0.0394102745,0.1697462797,0.0067528985
02:59:25:39.106,61,0.0168498252,0.2779559195,0.0653861240,0.0000000000,0.0000000000,0.0143016744,0.0000000000,0.0164732486,0.2778487206,0.0617073774,0.0000000000,0.0000000000,0.0143016642,0.0000000000,0.0077393488,0.0131540932,0.0000000000,0.0119383140,0.0131429723,0.0024641573,0.0576444454,0.0009234519,0.0000000000,0.0051852306,0.0083105648,0.0000000000,0.0000000000,0.0064502638,0.0062876716,0.0195590556,0.0192016307,0.0131355869,0.0099789146,0.0416720435,0.0279029272,0.0132486001,0.0137425940,0.0108890282,0.0100258524,0.0056880140,0.0061135846,0.0006196713,0.0004357919,0.0268533807,0.0000000000,0.0000000000,0.0076188352,0.0100734411,0.0103350095,0.0212245900,0.0220262073,0.0000000008,0.0000000000,0.0000000000,0.0000000000,-0.0371529944,0.1698464900,-0.0063701426,0.0393674299,0.1699265540,0.0067528649
02:59:25:40.107,61,0.0164488200,0.2795710564,0.0646049455,0.0000000000,0.0000000000,0.0143207619,0.0000000000,0.0160875563,0.2794534564,0.0625403523,0.0000000000,0.0000000000,0.0143207498,0.0000000000,0.0076945568,0.0132648824,0.0000000000,0.0119584110,0.0131694116,0.0024536480,0.0579797104,0.0008988762,0.0000000000,0.0048840260,0.0082050096,0.0000000000,0.0000000000,0.0063862200,0.0062238667,0.0195864346,0.0192224961,0.0130462162,0.0099398494,0.0414171629,0.0277428161,0.0131619321,0.0136553878,0.0108694294,0.0100044785,0.0056532314,0.0060750316,0.0005252119,0.0003413204,0.0269515570,0.0000000000,0.0000000000,0.0076149679,0.0100769484,0.0103468075,0.0212081280,0.0219900012,0.0000000007,0.0000000000,0.0000000000,0.0000000000,-0.0376481637,0.1708306521,-0.0064931377,0.0388905145,0.1709107757,0.0067104995
02:59:25:41.109,61,0.0161888245,0.2812898755,0.0638376996,0.0000000000,0.0000000000,0.0143039310,0.0000000000,0.0158380046,0.2811620235,0.0633522272,0.0000000000,0.0000000000,0.0143039189,0.0000000000,0.0076638847,0.0133877043,0.0000000000,0.0119760083,0.0131921517,0.0024485607,0.0586742610,0.0008864718,0.0000000000,0.0044711921,0.0079636397,0.0000000000,0.0000000000,0.0063343220,0.0061712167,0.0196525622,0.0192822255,0.0129678659,0.0098993238,0.0413047671,0.0276673399,0.0131097427,0.0136085199,0.0108658187,0.0099987201,0.0056319782,0.0060511613,0.0005886415,0.0004048133,0.0270578545,0.0000000000,0.0000000000,0.0076303743,0.0100758942,0.0103539284,0.0212302655,0.0219918359,0.0000000007,0.0000000000,0.0000000000,0.0000000000,-0.0381299965,0.1718782932,-0.0066173277,0.0384216644,0.1719584018,0.0066710892
02:59:25:42.110,61,0.0159125328,0.2813807428,0.0629050955,0.0000000000,0.0000000000,0.0143035613,0.0000000000,0.0155727547,0.2812403142,0.0643307939,0.0000000000,0.0000000000,0.0143035492,0.0000000000,0.0076331166,0.0135047380,0.0000000000,0.0119898878,0.0132006193,0.0024396756,0.0593989938,0.0009102590,0.0000000000,0.0038378472,0.0074233566,0.0000000000,0.0000000000,0.0062860954,0.0061210990,0.0196879990,0.0193092618,0.0128822206,0.0098622749,0.0412343815,0.0276188049,0.0130588170,0.0135610308,0.0108392276,0.0099723814,0.0056033004,0.0060194610,0.0008242242,0.0006395066,0.0271025952,0.0000000000,0.0000000000,0.0076486161,0.0100677917,0.0103539703,0.0212258212,0.0219629705,0.0000000006,0.0000000000,0.0000000000,0.0000000000,-0.0387186483,0.1719300598,-0.0067214952,0.0378600098,0.1720102131,0.0065756389
02:59:25:43.112,61,0.0156058809,0.2805974782,0.0622595884,0.0000000000,0.0000000000,0.0143185668,0.0000000000,0.0152780516,0.2804484963,0.0649948642,0.0000000000,0.0000000000,0.0143185547,0.0000000000,0.0076141623,0.0135984765,0.0000000000,0.0120270448,0.0132296039,0.0024325834,0.0598533116,0.0009533138,0.0000000000,0.0032776922,0.0069693378,0.0000000000,0.0000000000,0.0062439861,0.0060778870,0.0197343156,0.0193506461,0.0128082922,0.0098402891,0.0410954431,0.0275205877,0.0129909860,0.0134954117,0.0108270319,0.0099596120,0.0055669923,0.0059786276,0.0012146682,0.0010285629,0.0270732660,0.0000000000,0.0000000000,0.0076641296,0.0100594321,0.0103535503,0.0211969875,0.0219094716,0.0000000007,0.0000000000,0.0000000000,0.0000000000,-0.0391216055,0.1714487374,-0.0067720204,0.0374746211,0.1715288609,0.0064901612
02:59:25:44.114,61,0.0152434623,0.2796810865,0.0612301938,0.0000000000,0.0000000000,0.0143583687,0.0000000000,0.0149290832,0.2795185149,0.0660486445,0.0000000000,0.0000000000,0.0143583566,0.0000000000,0.0076005887,0.0137242367,0.0000000000,0.0120723797,0.0132715432,0.0024251365,0.0602186173,0.0010697610,0.0000000000,0.0025692212,0.0063774539,0.0000000000,0.0000000000,0.0061916527,0.0060229911,0.0197753981,0.0193746984,0.0127290664,0.0098176086,0.0409005210,0.0273885615,0.0129000405,0.0134052513,0.0108134886,0.0099439397,0.0055283830,0.0059352089,0.0012606066,0.0010743206,0.0270710029,0.0000000000,0.0000000000,0.0076665375,0.0100624198,0.0103624817,0.0211564675,0.0218450669,0.0000000008,0.0000000000,0.0000000000,0.0000000000,-0.0397597812,0.1708845347,-0.0068593333,0.0368585959,0.1709647328,0.0063621155
02:59:25:45.115,61,0.0148570826,0.2797581851,0.0596184768,0.0000000000,0.0000000000,0.0143961525,0.0000000000,0.0145566147,0.2795742750,0.0676999912,0.0000000000,0.0000000000,0.0143961413,0.0000000000,0.0076000937,0.0138511844,0.0000000000,0.0120923687,0.0132841459,0.0024126992,0.0605927445,0.0011331051,0.0000000000,0.0019419452,0.0058762967,0.0000000000,0.0000000000,0.0061518918,0.0059810840,0.0197999086,0.0193881262,0.0126762129,0.0097987261,0.0407860130,0.0273220539,0.0128321461,0.0133387391,0.0108029172,0.0099326773,0.0055035874,0.0059076576,0.0014835447,0.0012978343,0.0270774476,0.0000000000,0.0000000000,0.0076625692,0.0100639453,0.0103710433,0.0211350471,0.0218035132,0.0000000008,0.0000000000,0.0000000000,0.0000000000,-0.0407536104,0.1709255576,-0.0070324084,0.0358881205,0.1710057557,0.0061961957
02:59:25:46.117,61,0.0144913327,0.2801086307,0.0583688393,0.0000000000,0.0000000000,0.0143715870,0.0000000000,0.0142040066,0.2799085975,0.0689195246,0.0000000000,0.0000000000,0.0143715777,0.0000000000,0.0075844768,0.0139882080,0.0000000000,0.0120585058,0.0132550970,0.0023925109,0.0605648197,0.0011731480,0.0000000000,0.0018995563,0.0060675652,0.0000000000,0.0000000000,0.0061111785,0.0059395935,0.0198017731,0.0193806477,0.0126299746,0.0097531248,0.0406593271,0.0272569936,0.0127532035,0.0132627208,0.0107916044,0.0099230232,0.0054936032,0.0058974167,0.0013444652,0.0011605308,0.0270451661,0.0000000000,0.0000000000,0.0076214965,0.0100446939,0.0103636608,0.0210983120,0.0217542313,0.0000000009,0.0000000000,0.0000000000,0.0000000000,-0.0414862558,0.1711351573,-0.0071677095,0.0351345874,0.1712153256,0.0060737352
