Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:44:04:38.143,61,0.0367709287,0.0484588146,0.0120556988,0.0000000000,0.0000000000,0.3202912509,0.0000000000,0.0362614170,0.0484186746,0.1048745587,0.0000000000,0.0000000000,0.3203220963,0.0000000000,0.0311450958,0.0004281735,0.0000000000,0.0573716313,0.0751467198,0.0645499825,0.0724698007,0.0054021194,0.0000000000,0.2149867862,0.2291993797,0.0000000000,0.0000000000,0.0497882701,0.0557140857,0.0875875652,0.0911394581,0.1038195565,0.0488027409,0.1377207935,0.0872891992,0.0718999431,0.0707604438,0.1281668693,0.1305491477,0.0467034951,0.0447701924,0.1538420469,0.1537247598,0.0548572093,0.0000000000,0.0000000000,0.0259095822,0.1304450780,0.1361050457,0.2772205174,0.2667922676,0.0000000002,0.0000000000,0.0000000000,0.0000000000,-0.0640361756,0.0296380483,-0.0018971636,0.0073611811,0.0296026058,0.0002179718
20:44:04:39.144,61,0.0397024862,0.0496067069,0.0121192876,0.0000000000,0.0000000000,0.3201764226,0.0000000000,0.0390585549,0.0495642349,0.1048548371,0.0000000000,0.0000000000,0.3202046156,0.0000000000,0.0312656090,0.0003500979,0.0000000000,0.0576834343,0.0755216107,0.0646700189,0.0727955252,0.0054653180,0.0000000000,0.2145898342,0.2280360907,0.0000000000,0.0000000000,0.0497523881,0.0556521155,0.0878964216,0.0914539844,0.1039873064,0.0488628782,0.1373770535,0.0867958739,0.0719063804,0.0707332566,0.1281187236,0.1304944456,0.0463484079,0.0444237590,0.1537720561,0.1536422223,0.0549856313,0.0000000000,0.0000000000,0.0259652846,0.1305635571,0.1360272020,0.2688408792,0.2583450675,0.0000000010,0.0000000000,0.0000000000,0.0000000000,-0.0640227795,0.0303392466,-0.0019416694,0.0073998543,0.0303038470,0.0002243107
20:44:04:40.146,61,0.0401904806,0.0488812849,0.0114595564,0.0000000000,0.0000000000,0.3201567829,0.0000000000,0.0395142809,0.0488389358,0.1055063531,0.0000000000,0.0000000000,0.3201845288,0.0000000000,0.0314503461,0.0003027549,0.0000000000,0.0581713691,0.0763235465,0.0649671629,0.0729856715,0.0053848452,0.0000000000,0.2129729986,0.2270703167,0.0000000000,0.0000000000,0.0496669188,0.0555516928,0.0882101953,0.0917828828,0.1043927595,0.0492003821,0.1358741075,0.0854016915,0.0718220696,0.0706202239,0.1285656244,0.1309560835,0.0460121185,0.0441153273,0.1542350203,0.1541006714,0.0547658652,0.0000000000,0.0000000000,0.0259356759,0.1305293292,0.1359712332,0.2691852748,0.2585904002,0.0000000058,0.0000000000,0.0000000000,0.0000000000,-0.0644214451,0.0298960451,-0.0019251857,0.0069971243,0.0298606120,0.0002089988
20:44:04:41.147,61,0.0380330905,0.0479131080,0.0113695553,0.0000000000,0.0000000000,0.3201513588,0.0000000000,0.0374288373,0.0478726849,0.1055611968,0.0000000000,0.0000000000,0.3201793134,0.0000000000,0.0316589028,0.0002197320,0.0000000000,0.0586453788,0.0770262182,0.0653594360,0.0730304271,0.0051907119,0.0000000000,0.2114600241,0.2262757421,0.0000000000,0.0000000000,0.0495648347,0.0554373376,0.0885472968,0.0921724737,0.1048582867,0.0496509299,0.1349406987,0.0845240951,0.0717580169,0.0705233812,0.1294442862,0.1319366992,0.0457650386,0.0439103171,0.1569701433,0.1568466574,0.0543234348,0.0000000000,0.0000000000,0.0258449316,0.1304986328,0.1360081732,0.2832921743,0.2733349204,0.0000000093,0.0000000000,0.0000000000,0.0000000000,-0.0644560605,0.0293046311,-0.0018880918,0.0069422917,0.0292691588,0.0002032515
20:44:04:42.149,61,0.0361122638,0.0470089205,0.0117013557,0.0000000000,0.0000000000,0.3199667335,0.0000000000,0.0355600007,0.0469710976,0.1052325070,0.0000000000,0.0000000000,0.3199948967,0.0000000000,0.0318438187,0.0001097186,0.0000000000,0.0591414496,0.0777535811,0.0657561868,0.0730264634,0.0049676448,0.0000000000,0.2093849778,0.2252366990,0.0000000000,0.0000000000,0.0494405404,0.0553005300,0.0888318270,0.0925234109,0.1052734107,0.0501296669,0.1331648082,0.0833241567,0.0716388449,0.0703675225,0.1308614612,0.1334647834,0.0455193482,0.0437105559,0.1584915221,0.1583756655,0.0538491793,0.0000000000,0.0000000000,0.0257206876,0.1303185821,0.1359225810,0.2872014940,0.2774198353,0.0000000121,0.0000000000,0.0000000000,0.0000000000,-0.0642564073,0.0287523661,-0.0018467592,0.0071450048,0.0287168510,0.0002052367
20:44:04:43.151,61,0.0352510028,0.0460432321,0.0115573639,0.0000000000,0.0000000000,0.3196517527,0.0000000000,0.0347154923,0.0460071489,0.1053825766,0.0000000000,0.0000000000,0.3196799159,0.0000000000,0.0320682302,0.0000000000,0.0000188119,0.0597423352,0.0789235011,0.0661826059,0.0730332658,0.0048243152,0.0000000000,0.2082812488,0.2241579443,0.0000000000,0.0000000000,0.0493547618,0.0551976375,0.0891894102,0.0929371640,0.1057598516,0.0506557636,0.1311512589,0.0816987827,0.0714928806,0.0701860264,0.1321278214,0.1346598268,0.0452096015,0.0434377156,0.1591789275,0.1590653211,0.0534560829,0.0000000000,0.0000000000,0.0256168488,0.1301287115,0.1357772797,0.2888108194,0.2791008055,0.0000000152,0.0000000000,0.0000000000,0.0000000000,-0.0643491074,0.0281624775,-0.0018114565,0.0070572002,0.0281269103,0.0001985480
20:44:04:44.152,61,0.0349132791,0.0455021225,0.0120224832,0.0000000000,0.0000000000,0.3193008900,0.0000000000,0.0343815796,0.0454680957,0.1049360409,0.0000000000,0.0000000000,0.3193286955,0.0000000000,0.0322770998,0.0000000000,0.0001135990,0.0603534654,0.0798773542,0.0665977821,0.0730564669,0.0047551976,0.0000000000,0.2076659203,0.2235284746,0.0000000000,0.0000000000,0.0493170060,0.0551414452,0.0895192102,0.0932839215,0.1062676236,0.0511667840,0.1298629194,0.0805077553,0.0713251606,0.0699911267,0.1330399364,0.1355443448,0.0449164845,0.0431700647,0.1593607962,0.1592455804,0.0531974807,0.0000000000,0.0000000000,0.0255290885,0.1300338060,0.1356805712,0.2892532647,0.2795757353,0.0000000145,0.0000000000,0.0000000000,0.0000000000,-0.0640770271,0.0278320145,-0.0017826310,0.0073412820,0.0277964193,0.0002041121
20:44:04:45.154,61,0.0351811424,0.0462855287,0.0124449944,0.0000000000,0.0000000000,0.3189315498,0.0000000000,0.0346449502,0.0462506935,0.1045239046,0.0000000000,0.0000000000,0.3189586997,0.0000000000,0.0324222408,0.0000000000,0.0001787452,0.0608278140,0.0805253685,0.0669020861,0.0731083974,0.0047373073,0.0000000000,0.2071538121,0.2229189575,0.0000000000,0.0000000000,0.0492812209,0.0550810508,0.0897555873,0.0934985876,0.1066914722,0.0515641719,0.1288899928,0.0795878619,0.0711704046,0.0698246732,0.1335862279,0.1360435635,0.0445925146,0.0428723171,0.1593286842,0.1592093259,0.0531090237,0.0000000000,0.0000000000,0.0254904907,0.1299362183,0.1355498135,0.2813158333,0.2724753916,0.0000000141,0.0000000000,0.0000000000,0.0000000000,-0.0638245046,0.0283106025,-0.0018061644,0.0075991768,0.0282750390,0.0002149222
20:44:04:46.155,61,0.0360174663,0.0470570438,0.0124544054,0.0000000000,0.0000000000,0.3188880682,0.0000000000,0.0354039334,0.0470206179,0.1045131087,0.0000000000,0.0000000000,0.3189140558,0.0000000000,0.0325568281,0.0000000000,0.0002388728,0.0612114258,0.0810056999,0.0671385005,0.0730993077,0.0047753057,0.0000000000,0.2068952173,0.2224475890,0.0000000000,0.0000000000,0.0492971390,0.0550716184,0.0899319425,0.0936414748,0.1071244553,0.0519448444,0.1281915605,0.0788714513,0.0710497871,0.0696843937,0.1339755654,0.1363714784,0.0443039089,0.0425959900,0.1591268033,0.1589989662,0.0530517735,0.0000000000,0.0000000000,0.0254670624,0.1299863309,0.1355099231,0.2790603340,0.2703929842,0.0000000138,0.0000000000,0.0000000000,0.0000000000,-0.0638170615,0.0287818685,-0.0018360327,0.0076048207,0.0287463441,0.0002186689
20:44:04:47.157,61,0.0365858413,0.0472780503,0.0134008024,0.0000000000,0.0000000000,0.3186889291,0.0000000000,0.0359451324,0.0472431108,0.1035734564,0.0000000000,0.0000000000,0.3187137842,0.0000000000,0.0327267423,0.0000000000,0.0002828854,0.0617284141,0.0816576704,0.0674286485,0.0730842799,0.0048963092,0.0000000000,0.2072607726,0.2225757092,0.0000000000,0.0000000000,0.0493539497,0.0551014505,0.0902018249,0.0938431174,0.1076018810,0.0523475222,0.1274245530,0.0780974105,0.0708314851,0.0694550499,0.1344940215,0.1368287504,0.0440365002,0.0423292890,0.1587268561,0.1585897505,0.0530977920,0.0000000000,0.0000000000,0.0254351832,0.1302979439,0.1357131004,0.2773682773,0.2685416043,0.0000000120,0.0000000000,0.0000000000,0.0000000000,-0.0632430464,0.0289170016,-0.0018280880,0.0081826700,0.0288814846,0.0002363908
