Timecode,BlendshapeCount,CheekSquintRight,EyeSquintRight,MouthDimpleRight,NoseSneerRight,MouthSmileRight,JawOpen,MouthUpperUpRight,BrowDownRight,CheekSquintLeft,EyeSquintLeft,MouthDimpleLeft,NoseSneerLeft,MouthSmileLeft,MouthUpperUpLeft,BrowDownLeft
02:49:57:51.760,61,0.031550631,0.037095186,0.012734428,0.038723211,0.034561518,0.031240941,0.014122807,0.00067014,0.031550631,0.037095186,0.012734428,0.038723211,0.034561518,0.014122807,0.00067014
02:49:57:52.762,61,0.031550631,0.037095186,0.012734428,0.038723211,0.034561518,0.031240941,0.014122807,0.00067014,0.031550631,0.037095186,0.012734428,0.038723211,0.034561518,0.014122807,0.00067014
02:49:57:53.763,61,0.031523213,0.036990813,0.012736427,0.038735645,0.034532171,0.031275848,0.014106848,0.00067014,0.031523213,0.036990813,0.012736427,0.038735645,0.034532171,0.014106848,0.00067014
02:49:57:54.765,61,0.031341798,0.036691555,0.012625653,0.038587017,0.034323407,0.031172069,0.014034436,0.00029375,0.031341798,0.036691555,0.012625653,0.038587017,0.034323407,0.014034436,0.00029375
02:49:57:55.766,61,0.031284039,0.036570067,0.012610777,0.038579486,0.034274645,0.031040811,0.014011065,0.000389209,0.031284039,0.036570067,0.012610777,0.038579486,0.034274645,0.014011065,0.000389209
02:49:57:56.768,61,0.031216617,0.036373548,0.012594565,0.038549441,0.034319158,0.030898502,0.014040627,0.000177754,0.031216617,0.036373548,0.012594565,0.038549441,0.034319158,0.014040627,0.000177754
02:49:57:57.769,61,0.031153229,0.03616837,0.012559417,0.03852543,0.034513763,0.030841762,0.014153642,5.69e-05,0.031153229,0.03616837,0.012559417,0.03852543,0.034513763,0.014153642,5.69e-05
02:49:57:58.771,61,0.031130792,0.036110647,0.012549282,0.038506611,0.034473534,0.030823984,0.014140844,6.75e-05,0.031130792,0.036110647,0.012549282,0.038506611,0.034473534,0.014140844,6.75e-05
02:49:57:59.773,61,0.03108521,0.036153429,0.012467847,0.038563867,0.034637546,0.030658211,0.014204127,0.000106584,0.03108521,0.036153429,0.012467847,0.038563867,0.034637546,0.014204127,0.000106584
02:49:58:00.774,61,0.031030551,0.036076625,0.012453417,0.038544368,0.034665372,0.030602521,0.014205265,0.000106584,0.031030551,0.036076625,0.012453417,0.038544368,0.034665372,0.014205265,0.000106584
