,AMP,LIN
21,0.9166666666666666,0.08333333333333333
2,0.8333333333333334,0.16666666666666666
8,0.75,0.25
16,0.75,0.25
5,0.6666666666666666,0.3333333333333333
19,0.6666666666666666,0.3333333333333333
13,0.6666666666666666,0.3333333333333333
10,0.5833333333333334,0.4166666666666667
0,0.5,0.5
15,0.5,0.5
3,0.5,0.5
18,0.5,0.5
17,0.5,0.5
20,0.4166666666666667,0.5833333333333334
11,0.4166666666666667,0.5833333333333334
14,0.4166666666666667,0.5833333333333334
12,0.4166666666666667,0.5833333333333334
9,0.4166666666666667,0.5833333333333334
7,0.4166666666666667,0.5833333333333334
6,0.4166666666666667,0.5833333333333334
22,0.4166666666666667,0.5833333333333334
1,0.3333333333333333,0.6666666666666666
4,0.25,0.75
