Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
21:36:38:53.519,61,0.0983308926,0.1656186730,0.0642899126,0.0000000000,0.0000000000,0.0648293719,0.0000000000,0.0983886495,0.1656698287,0.0536888912,0.0000000000,0.0000000000,0.0648289025,0.0000000000,0.0467023142,0.0000000000,0.0092129381,0.1018666998,0.1128235832,0.0621956959,0.1184327602,0.0000000000,0.0079399683,0.0372795649,0.0632923096,0.0000000000,0.0000000000,0.0291584972,0.0311850514,0.0768171549,0.0800232813,0.0596285090,0.0336892866,0.1154971495,0.0629159585,0.0393483117,0.0411475040,0.0941295400,0.0897188634,0.0243438929,0.0277454164,0.0000000000,0.0000000000,0.0693514496,0.0081208861,0.0081163775,0.0210311003,0.0537829921,0.0569800138,0.0498618111,0.0576172471,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0326288119,0.1012560129,-0.0033146006,0.0390715599,0.1012482420,0.0039684689
21:36:38:54.520,61,0.0982640237,0.1656718403,0.0643227398,0.0000000000,0.0000000000,0.0646042973,0.0000000000,0.0983224213,0.1657232642,0.0536527038,0.0000000000,0.0000000000,0.0646038204,0.0000000000,0.0467643030,0.0000000000,0.0092507973,0.1017320007,0.1127169281,0.0618549809,0.1180142164,0.0000000000,0.0079887193,0.0371262841,0.0631842390,0.0000000000,0.0000000000,0.0291331951,0.0311587360,0.0767342746,0.0799483955,0.0597918704,0.0337337330,0.1153891906,0.0628023818,0.0393190160,0.0411227085,0.0938701704,0.0894668251,0.0242477898,0.0276448317,0.0000000000,0.0000000000,0.0693418086,0.0083521120,0.0083473157,0.0210293960,0.0536778718,0.0568670519,0.0497902669,0.0575592257,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0326067135,0.1012886167,-0.0033134313,0.0390913710,0.1012808084,0.0039717671
21:36:38:55.522,61,0.0982458070,0.1657369137,0.0645945966,0.0000000000,0.0000000000,0.0643995330,0.0000000000,0.0983043984,0.1657902747,0.0533902794,0.0000000000,0.0000000000,0.0643990561,0.0000000000,0.0468045548,0.0000000000,0.0092584277,0.1017053425,0.1126846597,0.0617066622,0.1178132221,0.0000000000,0.0080057746,0.0369758680,0.0630750656,0.0000000000,0.0000000000,0.0291129369,0.0311385747,0.0766900331,0.0799000412,0.0598552339,0.0337713175,0.1152638793,0.0627039373,0.0392982252,0.0411030725,0.0937878788,0.0893787220,0.0242083631,0.0276051033,0.0000000000,0.0000000000,0.0693825707,0.0085975109,0.0085926577,0.0210281499,0.0536015108,0.0567792282,0.0497743487,0.0575562716,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0324470922,0.1013290435,-0.0032985413,0.0392564349,0.1013212577,0.0039901324
21:36:38:56.524,61,0.0983996764,0.1658940166,0.0648693889,0.0000000000,0.0000000000,0.0641440675,0.0000000000,0.0984582752,0.1659494042,0.0531154424,0.0000000000,0.0000000000,0.0641435981,0.0000000000,0.0468573757,0.0000000000,0.0092499508,0.1017144024,0.1126801074,0.0615331754,0.1176377982,0.0000000000,0.0080044996,0.0367347151,0.0628672019,0.0000000000,0.0000000000,0.0290816594,0.0311040618,0.0766353682,0.0798308998,0.0599157251,0.0338221714,0.1150713116,0.0625507534,0.0392595343,0.0410638303,0.0936955139,0.0892728418,0.0241442490,0.0275365692,0.0000000000,0.0000000000,0.0693986714,0.0089065339,0.0089014545,0.0210246481,0.0534706712,0.0566431396,0.0497319400,0.0575258806,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0322797485,0.1014257520,-0.0032846881,0.0394230485,0.1014179662,0.0040109092
21:36:38:57.525,61,0.0986865908,0.1660692543,0.0649425313,0.0000000000,0.0000000000,0.0639780387,0.0000000000,0.0987452343,0.1661252230,0.0530426092,0.0000000000,0.0000000000,0.0639775842,0.0000000000,0.0470850021,0.0000000000,0.0092271697,0.1019414440,0.1129083112,0.0615478978,0.1176309064,0.0000000000,0.0080490960,0.0367361270,0.0630081594,0.0000000000,0.0000000000,0.0291428324,0.0311707314,0.0767669082,0.0799518898,0.0601392016,0.0339542255,0.1150180846,0.0624593198,0.0393120050,0.0411232337,0.0939584374,0.0895133391,0.0241470728,0.0275490787,0.0000000000,0.0000000000,0.0695273727,0.0090140114,0.0090087038,0.0210450105,0.0535179153,0.0567025468,0.0498006195,0.0576338284,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0322351269,0.1015330553,-0.0032836441,0.0394670740,0.1015252769,0.0040196641
21:36:38:58.528,61,0.0988863707,0.1660114229,0.0650253966,0.0000000000,0.0000000000,0.0638480783,0.0000000000,0.0989450961,0.1660680175,0.0529483855,0.0000000000,0.0000000000,0.0638476536,0.0000000000,0.0471186228,0.0000000000,0.0091925506,0.1019433960,0.1128891930,0.0614740625,0.1174493209,0.0000000000,0.0079906657,0.0365799516,0.0629260167,0.0000000000,0.0000000000,0.0291281212,0.0311509427,0.0767422020,0.0798962936,0.0601209849,0.0339852758,0.1148301885,0.0623394027,0.0392688289,0.0410793200,0.0940002054,0.0895359442,0.0241286512,0.0275301225,0.0000000000,0.0000000000,0.0695361793,0.0091567254,0.0091511346,0.0210199989,0.0534597561,0.0566520765,0.0497534163,0.0575985722,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0321779922,0.1014979184,-0.0032766829,0.0395175740,0.1014901251,0.0040234015
21:36:38:59.530,61,0.0990363732,0.1660653502,0.0650459826,0.0000000000,0.0000000000,0.0637099817,0.0000000000,0.0990948230,0.1661221236,0.0529285818,0.0000000000,0.0000000000,0.0637095794,0.0000000000,0.0472114049,0.0000000000,0.0091913110,0.1019762233,0.1129135266,0.0613834374,0.1172655821,0.0000000000,0.0079584876,0.0364190526,0.0627667084,0.0000000000,0.0000000000,0.0291258730,0.0311433692,0.0767750591,0.0799263418,0.0601973906,0.0340308174,0.1147042736,0.0622382946,0.0392570794,0.0410636701,0.0940171406,0.0895422921,0.0240987036,0.0274990257,0.0000000000,0.0000000000,0.0695346296,0.0092521179,0.0092463130,0.0210163053,0.0534183867,0.0566146560,0.0497370772,0.0575962029,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0321658440,0.1015309468,-0.0032765199,0.0395299494,0.1015231460,0.0040259794
21:36:39:00.531,61,0.0991321206,0.1661108434,0.0652261153,0.0000000000,0.0000000000,0.0636147037,0.0000000000,0.0991906226,0.1661689579,0.0527368151,0.0000000000,0.0000000000,0.0636143163,0.0000000000,0.0472335964,0.0000000000,0.0091587408,0.1019155681,0.1128576919,0.0612578429,0.1171824113,0.0000000000,0.0079307556,0.0360612199,0.0623806939,0.0000000000,0.0000000000,0.0290799774,0.0310890060,0.0767239109,0.0798605382,0.0602692179,0.0340499543,0.1146922335,0.0621852949,0.0392489992,0.0410584025,0.0937678888,0.0892810524,0.0240206942,0.0274104346,0.0000000000,0.0000000000,0.0694809556,0.0093585299,0.0093524661,0.0210378915,0.0533403680,0.0565423779,0.0496824495,0.0575425923,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0320492089,0.1015591770,-0.0032655573,0.0396393128,0.1015513837,0.0040382426
21:36:39:01.533,61,0.0992284343,0.1661863476,0.0651554316,0.0000000000,0.0000000000,0.0634894446,0.0000000000,0.0992872268,0.1662439555,0.0528087020,0.0000000000,0.0000000000,0.0634890869,0.0000000000,0.0473097153,0.0000000000,0.0091177365,0.1020044610,0.1129414737,0.0612055622,0.1171158776,0.0000000000,0.0078995423,0.0359063111,0.0622535162,0.0000000000,0.0000000000,0.0290745683,0.0310807321,0.0767461956,0.0798633769,0.0603615642,0.0340937115,0.1146515533,0.0621251352,0.0392430238,0.0410564542,0.0937631130,0.0892509446,0.0239962507,0.0273845736,0.0000000000,0.0000000000,0.0694524944,0.0093987184,0.0093922559,0.0210349560,0.0533256643,0.0565426163,0.0496904962,0.0575692393,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0320927501,0.1016051695,-0.0032714829,0.0395961702,0.1015973836,0.0040356894
21:36:39:02.534,61,0.0992689282,0.1663251668,0.0652981848,0.0000000000,0.0000000000,0.0634288043,0.0000000000,0.0993278250,0.1663838476,0.0526665524,0.0000000000,0.0000000000,0.0634284690,0.0000000000,0.0473420583,0.0000000000,0.0089843990,0.1020025313,0.1129713878,0.0610775948,0.1170928553,0.0000000000,0.0078746937,0.0358128026,0.0622241758,0.0000000000,0.0000000000,0.0290655643,0.0310694147,0.0767251626,0.0798133686,0.0604945421,0.0341297574,0.1146732345,0.0620864667,0.0392567776,0.0410794206,0.0936357975,0.0890886113,0.0239381008,0.0273229871,0.0000000000,0.0000000000,0.0694277734,0.0093869399,0.0093803313,0.0210480839,0.0533200167,0.0565531887,0.0496927239,0.0575897358,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0320060849,0.1016903669,-0.0032654067,0.0396825746,0.1016826034,0.0040479070
